taille,temps,mem,version,trie
6080,0.53,9236, Insertion ,0
6080,0.01,9236, Fusion ,0
6080,0.01,9112, Rapide ,0
2029,0.00,9068, Insertion ,1
2029,0.00,9092, Fusion ,1
2029,0.12,10568, Rapide ,1
5852,0.92,9164, Insertion ,2
5852,0.01,9232, Fusion ,2
5852,0.71,13916, Rapide ,2
1260,0.00,8996, Insertion ,3
1260,0.00,9108, Fusion ,3
1260,0.01,9936, Rapide ,3
2783,0.11,9088, Insertion ,0
2783,0.01,9056, Fusion ,0
2783,0.00,9044, Rapide ,0
2101,0.00,9124, Insertion ,1
2101,0.01,9092, Fusion ,1
2101,0.13,10476, Rapide ,1
5142,0.75,9248, Insertion ,2
5142,0.01,9160, Fusion ,2
5142,0.52,13408, Rapide ,2
1201,0.00,9104, Insertion ,3
1201,0.00,8968, Fusion ,3
1201,0.02,9872, Rapide ,3
4637,0.30,9076, Insertion ,0
4637,0.01,9172, Fusion ,0
4637,0.00,9160, Rapide ,0
9817,0.00,9456, Insertion ,1
9817,0.02,9316, Fusion ,1
9817,2.94,17832, Rapide ,1
5819,0.96,9192, Insertion ,2
5819,0.01,9168, Fusion ,2
5819,0.70,14144, Rapide ,2
8718,0.00,9200, Insertion ,3
8718,0.02,9176, Fusion ,3
8718,0.80,16600, Rapide ,3
6343,0.65,9104, Insertion ,0
6343,0.01,9176, Fusion ,0
6343,0.01,9116, Rapide ,0
3467,0.00,9108, Insertion ,1
3467,0.01,9184, Fusion ,1
3467,0.38,11844, Rapide ,1
7495,1.63,9128, Insertion ,2
7495,0.02,9156, Fusion ,2
7495,1.18,15548, Rapide ,2
8780,0.00,9208, Insertion ,3
8780,0.02,9188, Fusion ,3
8780,0.83,16740, Rapide ,3
287,0.00,9136, Insertion ,0
287,0.00,9048, Fusion ,0
287,0.00,8936, Rapide ,0
9400,0.00,9376, Insertion ,1
9400,0.02,9396, Fusion ,1
9400,2.84,17484, Rapide ,1
9308,2.64,9396, Insertion ,2
9308,0.02,9088, Fusion ,2
9308,1.93,17356, Rapide ,2
8954,0.00,9200, Insertion ,3
8954,0.02,9420, Fusion ,3
8954,0.89,16780, Rapide ,3
7566,0.92,9188, Insertion ,0
7566,0.02,9200, Fusion ,0
7566,0.01,9056, Rapide ,0
2149,0.00,9124, Insertion ,1
2149,0.00,9152, Fusion ,1
2149,0.15,10664, Rapide ,1
141,0.00,9076, Insertion ,2
141,0.00,8896, Fusion ,2
141,0.00,9000, Rapide ,2
8879,0.00,9208, Insertion ,3
8879,0.02,9396, Fusion ,3
8879,0.88,16788, Rapide ,3
1231,0.03,9000, Insertion ,0
1231,0.01,8928, Fusion ,0
1231,0.00,9016, Rapide ,0
9450,0.00,9464, Insertion ,1
9450,0.02,9336, Fusion ,1
9450,3.03,17296, Rapide ,1
9252,2.63,9220, Insertion ,2
9252,0.02,9152, Fusion ,2
9252,1.91,17144, Rapide ,2
3952,0.00,9120, Insertion ,3
3952,0.01,9072, Fusion ,3
3952,0.17,12248, Rapide ,3
7372,0.88,9236, Insertion ,0
7372,0.02,9200, Fusion ,0
7372,0.01,9196, Rapide ,0
1047,0.00,9068, Insertion ,1
1047,0.00,9068, Fusion ,1
1047,0.03,9720, Rapide ,1
1968,0.11,9124, Insertion ,2
1968,0.01,9148, Fusion ,2
1968,0.09,10500, Rapide ,2
677,0.00,9044, Insertion ,3
677,0.00,8876, Fusion ,3
677,0.01,9456, Rapide ,3
8372,1.11,9276, Insertion ,0
8372,0.02,9180, Fusion ,0
8372,0.01,9328, Rapide ,0
197,0.00,8968, Insertion ,1
197,0.00,8944, Fusion ,1
197,0.00,8932, Rapide ,1
1996,0.14,9124, Insertion ,2
1996,0.00,8912, Fusion ,2
1996,0.11,10472, Rapide ,2
7877,0.00,9236, Insertion ,3
7877,0.01,9236, Fusion ,3
7877,0.76,15676, Rapide ,3
4582,0.35,9204, Insertion ,0
4582,0.02,9156, Fusion ,0
4582,0.01,9112, Rapide ,0
1083,0.00,9048, Insertion ,1
1083,0.00,9024, Fusion ,1
1083,0.05,9592, Rapide ,1
2466,0.19,9124, Insertion ,2
2466,0.01,9104, Fusion ,2
2466,0.14,10932, Rapide ,2
8986,0.00,9268, Insertion ,3
8986,0.02,9396, Fusion ,3
8986,0.91,16944, Rapide ,3
6912,0.79,9112, Insertion ,0
6912,0.02,9156, Fusion ,0
6912,0.01,9084, Rapide ,0
587,0.00,8924, Insertion ,1
587,0.00,9008, Fusion ,1
587,0.01,9144, Rapide ,1
2362,0.17,9140, Insertion ,2
2362,0.01,8984, Fusion ,2
2362,0.14,10768, Rapide ,2
5197,0.00,9196, Insertion ,3
5197,0.01,9180, Fusion ,3
5197,0.31,13328, Rapide ,3
